time,security,price,quantity

10:00:03,LOWER,21800,-1
10:00:03,UPPER,23757,1
10:01:42,LOWER,21822,1
10:01:42,UPPER,23823,-1
10:09:23,LOWER,21667,1
10:09:23,UPPER,23700,-1
10:16:43,LOWER,21731,-1
10:16:43,UPPER,23720,1
10:18:50,LOWER,21703,1
10:18:50,UPPER,23737,-1
16:13:21,LOWER,21667,-1
16:13:21,UPPER,23773,1
16:50:47,LOWER,21759,1
16:50:47,UPPER,23904,-1
17:11:23,LOWER,21689,-1
17:11:23,UPPER,23802,1
17:28:08,LOWER,21638,-1
17:28:08,UPPER,23728,1
17:33:23,LOWER,21635,1
17:33:23,UPPER,23759,-1
17:45:15,LOWER,21621,-1
17:45:15,UPPER,23704,1
10:41:43,LOWER,21768,1
10:41:43,UPPER,23815,-1
11:12:20,LOWER,21751,-1
11:12:20,UPPER,23756,1
11:37:32,LOWER,21769,1
11:37:32,UPPER,23803,-1
12:07:20,LOWER,21827,1
12:07:20,UPPER,23880,-1
10:00:11,LOWER,21784,-1
10:00:11,UPPER,23903,1
10:08:31,LOWER,21707,-1
10:08:31,UPPER,23796,1
10:00:14,LOWER,21628,1
10:00:14,UPPER,23383,-1
10:03:25,LOWER,21670,-1
10:03:25,UPPER,23374,1
14:18:50,LOWER,21834,1
14:18:50,UPPER,23498,-1
14:18:53,LOWER,21847,1
14:18:53,UPPER,23547,-1
14:19:05,LOWER,21916,-1
14:19:05,UPPER,23540,1
14:19:11,LOWER,21913,1
14:19:11,UPPER,23606,-1
14:19:46,LOWER,21917,-1
14:19:46,UPPER,23553,1
14:20:26,LOWER,21933,-1
14:20:26,UPPER,23543,1
17:36:50,LOWER,21746,1
17:36:50,UPPER,23130,-1
10:00:01,LOWER,21840,1
10:00:01,UPPER,23293,-1
12:22:25,LOWER,21929,-1
12:22:25,UPPER,23309,1
13:05:42,LOWER,21925,-1
13:05:42,UPPER,23286,1
10:00:03,LOWER,21739,1
10:00:03,UPPER,22899,-1
10:09:01,LOWER,21776,1
10:09:01,UPPER,22943,-1
10:50:02,LOWER,21615,-1
10:50:02,UPPER,22738,1
11:01:59,LOWER,21543,-1
11:01:59,UPPER,22638,1
14:45:36,LOWER,21783,1
14:45:36,UPPER,22867,-1
15:54:22,LOWER,21784,1
15:54:22,UPPER,22884,-1
16:22:20,LOWER,21731,-1
16:22:20,UPPER,22785,1
17:17:38,LOWER,21760,1
17:17:38,UPPER,22844,-1
17:35:27,LOWER,21750,-1
17:35:27,UPPER,22795,1
17:39:35,LOWER,21787,1
17:39:35,UPPER,22870,-1
18:17:33,LOWER,21669,-1
18:17:33,UPPER,22719,1
18:23:54,LOWER,21699,-1
18:23:54,UPPER,22723,1
19:20:40,LOWER,21790,1
19:20:40,UPPER,22855,-1
19:54:06,LOWER,21771,-1
19:54:06,UPPER,22797,1
10:00:55,LOWER,21777,1
10:00:55,UPPER,22843,-1
10:01:36,LOWER,21751,1
10:01:36,UPPER,22839,-1
12:23:19,LOWER,21622,-1
12:23:19,UPPER,22739,1
13:35:43,LOWER,21733,-1
13:35:43,UPPER,22805,1
17:56:36,LOWER,21654,1
17:56:36,UPPER,22720,-1
23:00:00,LOWER,21677,-1
23:00:00,UPPER,22692,1
10:05:34,LOWER,21700,1
10:05:34,UPPER,22750,-1
10:17:13,LOWER,21646,1
10:17:13,UPPER,22729,-1
10:26:02,LOWER,21583,-1
10:26:02,UPPER,22622,1
10:28:02,LOWER,21586,-1
10:28:02,UPPER,22597,1
10:38:45,LOWER,21591,1
10:38:45,UPPER,22638,-1
10:44:55,LOWER,21628,1
10:44:55,UPPER,22702,-1
11:59:26,LOWER,21611,-1
11:59:26,UPPER,22652,1
12:13:07,LOWER,21620,1
12:13:07,UPPER,22701,-1
